Nombre de noeuds par Graphe;BellmanFord (point fixe);Djikstra
10;0,897;0,191;
20;0,591;0,218;
30;0,562;0,301;
40;1,087;0,425;
50;1,319;0,372;
60;1,349;0,563;
70;3,610;1,014;
80;5,205;1,291;
90;4,058;1,374;
100;2,438;1,917;
110;3,406;2,061;
120;2,760;1,903;
130;4,872;1,858;
140;4,243;1,649;
150;4,143;2,232;
160;7,666;2,511;
170;5,279;2,700;
180;6,837;3,274;
190;7,924;2,587;
200;9,242;2,691;
210;11,577;2,808;
220;11,419;3,302;
230;11,189;2,958;
240;13,387;2,954;
250;11,770;3,360;
260;13,517;3,620;
270;15,071;3,957;
280;12,973;4,114;
290;18,346;4,754;
300;18,874;5,055;
310;21,599;5,513;
320;32,389;8,177;
330;21,394;6,516;
340;35,330;6,700;
350;27,828;7,605;
360;22,190;7,119;
370;33,386;8,296;
380;31,860;8,329;
390;39,314;9,234;
400;35,837;9,363;
410;38,059;10,064;
420;39,728;10,810;
430;43,164;11,611;
440;41,508;13,793;
450;45,756;12,008;
460;44,981;11,713;
470;41,659;13,323;
480;47,060;19,941;
490;43,715;14,150;
500;59,072;15,507;
510;61,780;15,448;
520;60,694;15,637;
530;52,727;17,325;
540;56,114;18,622;
550;56,105;18,355;
560;60,921;19,583;
570;60,059;19,581;
580;79,485;20,787;
590;66,639;21,892;
600;69,980;24,442;
610;75,094;26,158;
620;75,864;26,056;
630;74,779;25,090;
640;94,302;24,926;
650;83,768;27,593;
660;81,344;27,278;
670;83,739;29,708;
680;91,015;30,567;
690;92,919;31,798;
700;92,237;31,125;
710;96,784;32,853;
720;105,060;36,049;
730;103,424;35,457;
740;134,757;35,917;
750;134,309;36,703;
760;112,612;38,190;
770;126,757;37,665;
780;121,834;40,856;
790;116,672;40,186;
800;132,212;45,855;
810;125,692;43,013;
820;134,030;46,623;
830;131,520;44,942;
840;141,342;49,203;
850;105,374;47,250;
860;148,365;51,894;
870;145,265;50,506;
880;149,529;51,101;
890;162,310;57,674;
900;177,699;55,391;
